年月,销售收入,销售成本,综合毛利,经营利润
2014-01,1138366097.62,1027706532.808,126953162.81881154,18153377.772156548
2014-02,559017057.6203,520652469.1799,61116555.46334332,-10769047.156864626
2014-03,788093805.7405,767856271.2833,63767038.621655494,-6370438.557759805
2014-04,823524956.5778,787861380.6046,61591948.451008156,-5706224.690569753
2014-05,862279432.1977,819856326.4359,79750848.51152645,-1599778.227525735
2014-06,848339552.6392,797521117.8208001,85284876.74641459,6108758.978848451
2014-07,983894664.2788,924709066.6883,98381812.12744267,699083.7778782371
2014-08,1179775867.7244,1115043990.6922,100489181.80662988,3143725.404859509
2014-09,1372688234.6226,1295446710.7296,128024655.07642227,15620937.48652217
2014-10,1090652122.0528,1028873409.7247,108976474.25129999,-4275029.555685235
2014-11,1175930095.9034,1107457627.8975,120001683.0755405,2275546.116365622
2014-12,1478072180.0346,1363672277.8922,178717286.41084644,17097273.784526303
2015-01,1674264591.19,1509782918.22,227163395.85,31519856.317599084
2015-02,1257811259.98,1147448349.6200001,166893023.64,3211804.622395347
2015-03,1231745017.87,1164689856.39,131811136.5,-3338366.349863723
2015-04,1227457995.02,1160282086.05,135824375.07,-4059410.9069264387
2015-05,1252277582.37,1178864449.33,151724984.81,-1786427.8923724864
2015-06,1323773003.04,1230386933.36,165979128.68,11663420.834005807
2015-07,1367829440.26,1286727823.38,166524350.36095682,-8731966.740418809
2015-08,1643268034.66,1538475832.43,184842150.7380197,6732955.299089233
2015-09,2158531339.76,2015998498.76,234318687.02552953,18616619.32378139
2015-10,1758018940.78,1633694323.57,224593786.3829852,11595153.86451519
2015-11,1997873264.57,1869365007.09,233619627.18783486,6567401.607289843
2015-12,2571892839.49,2357527676.7599998,362890356.61779225,42009034.57371928
