项目简称,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01
Qlink昶腾,,,,,,,,,,,,5525.9424,52852.213669733486,-9465.03513498647,-386.792545331486,-6136.630543277839,-3320.0,0.0,89.47,-96.48,-203.68,11.84,0.0,0.0
临采,,,,,,,,,,,,,-28340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3413.19519875032
丹尼斯克,-2030.17,-31538.7132,-1933.54,-1700.15,-1756.8300000000002,-1590.34,-1643.3600000000001,-1642.01,-1549.0700000000002,-1598.6399999999999,-1525.46,-1584.3899999999999,-1596.7,-1440.39,-1624.810984173808,-1642.87,-1841.32,-1762.9099999999999,-1857.8400000000001,-1918.22,-1958.6,-1975.57,-2206.49,-1889.39
亚奇维,,,,,,,,,,,,0.0,-6513.680692831021,6536.939494045071,-3141.62596009811,20924.713866568,-1528.46388380859,6777.02179837328,-2440.65779934005,1997.7605046801896,7942.26399382979,5174.087467942,5704.76203317865,3842.6221822190296
亨氏,-18268.471839561702,-24068.603916126423,-15545.630894013406,5554.788416626502,-17673.412627208487,29338.5462712628,26888.183824738495,-80693.82710877639,107235.76451902401,23239.254130180405,-126009.7241482252,-52325.4111471532,346543.96832666575,114110.05709254714,589101.150123483,680892.7991183242,398410.9209144132,1038623.9551328928,396887.71832980367,543765.7984365202,716593.1425521696,717326.914366916,553272.5803067043,12611.519486873267
伊利,5618.394631120696,-641259.548088907,-401862.1504114185,-41073.019602456974,-749601.5231488433,-163879.02114125402,-38728.1431826393,-34419.55230098809,-133988.58849256812,-251296.1758412781,25905.014260022595,119208.42179351598,-303469.35944917,-1442.0749703053198,-3952.2713961290974,-129329.298986493,-39459.8992675653,-57241.1515243247,38560.3637949384,45666.9127661434,96823.29217460573,-37313.16611882078,-8957.835952255065,240137.71437096794
优贝加,,,,,,4709.9896,21245.8210967351,25430.4813295457,20041.4176148515,18697.1191111492,9778.40515633751,1826.39845507817,598.730508251121,-1659.0532005761402,303.723753157021,-143.480689579323,-142.473717356826,-866.2602629801131,-376.745683192135,-501.419952264982,-2116.7470233631,-850.2807080351739,-1145.98522365166,-357.46348510580805
佳贝艾特,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
全日美,1205.671668004,1951.03296118966,-8216.712800000021,3335.40881346192,-3888.9860000000103,9348.3948,27043.17975550052,-22507.422953778547,9105.521113874129,-1100.8636588852642,3386.8488207250693,1446.8742347170091,-4562.496612971981,4318.297017755352,-860.2057085425602,19520.91991882166,5904.787269957079,1795.1337754301596,5106.414604554219,927.6797275837798,1041.0127756672898,-14431.547161167942,7724.75287265626,3160.8485960689895
其他,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,-207309.738189812,-85183.6085449567,-727868.376598621,591460.7313318716,3679.24387804767,-16346.93411538709,-138603.41,-1987.3166823563897,-1494.4
南山奶粉,-15022.3996,-16228.2357857472,-9527.28089406759,-1287.89612654963,-849.078216768582,-3738.8,-3936.96243664278,-2071.66453478058,-955.93,-281.652039349144,-895.63,-925.15,-194.12,-177.3,-214.85,-208.2,-193.88,-183.13,-588.67,-583.4,-648.0,-337.12,-194.4,-44382.98
卡洛塔妮,,,,,,6272.526399999992,10972.8125879701,-25388.2178777038,122397.148185406,-4412.2670984712895,-41883.5166272318,170941.404459256,-8684.0662802997,-33834.8199603009,196000.95275015602,81227.9488259579,126021.61127660699,32348.3333121463,150445.175881745,5564.6141734622,196611.50161659802,96389.13598845787,36278.650882432405,87230.7212545651
合生元,59132.32843239512,-712207.478599892,107319.97289110228,123845.52610618985,-21475.45081127013,-122755.24093031831,8454.411865574975,176678.06629218644,652229.6771183184,91665.18715629994,109741.84563178831,277119.61624241143,656722.9552452613,153129.31045574968,482511.4426797313,404303.8735516095,-197010.1922539347,149519.7255338682,-74830.4618769815,8095.510115960304,142244.84483091274,451944.40997893026,566667.5268626444,496094.26358405984
咔哇熊,,,,,,,,,,,,,0.0,0.0,5593.842697539603,-2687.20332821606,-2391.0,5.85,1311.4138925451,1593.3436418482302,-593.52,-411.88,39982.85,-19311.68
喜宝,,,,,,,,-13460.94,31959.016,2669.4696,7323.7492,73899.7728,-12473.9799296241,-13478.6577512078,9874.0390495402,-32463.9689950114,-4482.26868839245,-5497.04703259001,-17250.8504524298,13588.1394857256,30106.8251150296,-17878.303995425,36706.7125923269,245402.03407436042
