品牌,平均库存,总销售成本,库存周转率,周转天数,标签
纽迪希亚,150075.8768571304,279588830.47540003,1862.9831544583521,0.19592232980019667,热销
美素,1486094.623089184,1290531694.5464,868.4047936757471,0.42031089954610157,热销
惠氏,1864836.8938930163,1415281789.296,758.9306034917996,0.4809398887337713,热销
金佰利,357209.94379596115,235688857.1064,659.8048604185158,0.553193863665205,热销
达能,448160.28708520177,186617543.75,416.40803330376593,0.8765440885088203,热销
雅培,1033696.5427351851,382138512.6156,369.68152336511895,0.9873363339273649,热销
其他,137144.77967741934,35632452.03,259.8163204885503,1.4048386156561132,热销
尤妮佳,680770.4451289285,159456030.166,234.22877903549593,1.5583055229293001,热销
多美滋,563994.2816552512,130371959.2483,231.1582998070033,1.5790045190016655,热销
美赞臣,2205190.2642735043,362613302.02,164.43628828529327,2.2197046880961775,热销
雀巢,765171.138565705,105909953.529,138.41341915682506,2.6370275528447715,热销
合生元,862799.7838613861,110690154.71,128.2918201655264,2.845076167202748,热销
贝因美,1030921.6297351852,116503487.3537,113.00906295236668,3.2298294531815337,热销
亨氏,904345.6663768116,73485317.96,81.2579975690192,4.491865550710563,热销
雅士利,534067.6621374045,39806170.86,74.53394706710158,4.897097421546682,热销
安怡,408283.34886986297,30081748.94,73.67860830785024,4.953948077777554,热销
丹尼斯克,831.4917857142857,53579.99,64.43838763118096,5.6643254652663115,热销
恒天然,884701.5071428571,41914741.7662,47.377269539828895,7.70411641585114,热销
全日美,40841.127454444446,1471241.4522,36.02352686862212,10.132267207793278,热销
飞鹤,383437.8483783784,12590507.85,32.83585045985242,11.115899082506678,热销
伊利,941780.4041455695,30597805.38,32.48932048842093,11.234460878616547,热销
母婴,1046332.2521052631,33977815.37,32.473256273650414,11.240018460857891,热销
临采,2236.6153846153848,44852.14,20.053577520979502,18.20124113107235,热销
优贝加,11234.097368421053,215823.55000000002,19.211472263599752,18.999064464807866,热销
施恩,124850.56820645161,2164202.97,17.334346179516753,21.056461906322415,热销
卡洛塔妮,493193.19263157895,8487073.81,17.208416370701904,21.210551403290587,热销
澳优,303298.2812121212,4563721.43,15.046974258348063,24.25736854022316,热销
圣元,469445.48038461537,6933205.5600000005,14.768925998221656,24.714051654395863,热销
喜宝,144799.48222222223,2041444.46,14.098423755873773,25.889419010258607,热销
百立乐,80671.03791666667,1099152.52,13.62511935368213,26.788756158775247,热销
花王,220089.28263157894,2962437.4,13.46016200597558,27.117058460214658,热销
辉山,150388.6775,1710849.2999999998,11.376184221049487,32.08457184832118,热销
蒙牛,339778.72208333336,2709643.94,7.9747310937717835,45.769568366394545,热销
领瑞,123407.85947368422,919504.52,7.450939704501375,48.98710960974367,热销
菲比,11116.446232291666,75077.21999999999,6.753706933958043,54.044394222194946,热销
露安适,140617.43214285714,861678.79,6.127823391943303,59.564379822024925,热销
金王,120989.93375000001,695327.76,5.746988517546816,63.511524146181074,正常
泰迪熊,94622.59875,542674.26,5.735144322486704,63.642687869054264,正常
小宝贝,2526.656988888889,13987.61,5.536014608041881,65.93190694796641,正常
火火兔,67177.03538461539,362031.68,5.389217876722661,67.72782402740174,正常
每伴,157808.96666666665,765411.36,4.850239984251001,75.25400829344018,正常
美智高,55739.757999999994,266651.28,4.783861458458432,76.2981961684189,正常
新欣,34083.026666666665,162435.37,4.765872807853137,76.5861815276644,正常
强生,1032566.9883333333,4306312.9,4.170492518796114,87.51963907259656,正常
亚奇维,30830.484615384616,120274.54000000001,3.9011563230498885,93.56200310236385,正常
雀氏,176756.46017714287,683500.7096,3.866906527291874,94.39069639359033,正常
星喜,87494.30052631578,324172.88999999996,3.705074365415357,98.51354224008449,正常
施儿佳,65885.37307692308,167116.31,2.5364705729887405,143.9007429800055,正常
特福芬,174608.71789473685,324976.96,1.8611725915994235,196.112924533416,滞销
方广,87831.01166666666,140346.62,1.597916468645936,228.42245333969092,滞销
满趣健,568849.545,830797.1496000001,1.4604866205878746,249.91670232013513,滞销
Qlink昶腾,89741.53846153847,99592.79,1.1097735976822325,328.8959124296201,滞销
南山奶粉,55270.58541666667,50715.75,0.9175902447508151,397.7810379829409,滞销
咔哇熊,80337.09677419355,45428.32,0.5654712682446947,645.4793028353381,滞销
大王,487262.92500000005,45676.939999999995,0.09374187457418393,3893.6708024880836,滞销
明治,-0.0010416666666666667,0.0,-0.0,999.0,滞销
淘淘安金润,0.0,0.0,0.0,999.0,滞销
整合,0.0,0.0,0.0,999.0,滞销
慧智妈咪,0.0,0.0,0.0,999.0,滞销
恒大奶粉,0.0,0.0,0.0,999.0,滞销
娃哈哈,-1435.7375,0.0,-0.0,999.0,滞销
好孩子,89534.565625,0.0,0.0,999.0,滞销
佳贝艾特,0.0,0.0,0.0,999.0,滞销
恒安,0.0,0.0,0.0,999.0,滞销
爱生雅,40525.165625,-0.01,-2.4676024997738674e-07,-1479168545.3125,热销
