列名,数据类型,非空数量,唯一值数量
结算编码,object,73590,5506
结算客户,object,73590,5513
省区平台,object,73590,36
城市,object,73590,154
项目部,object,73590,412
行业,object,73590,6
项目简称,object,73590,1591
日期,datetime64[ns],73590,24
销售指标,float64,73590,3880
业绩量,float64,73590,47549
关联收支,float64,73590,2734
预付账款-期末数,float64,73590,35076
期末存货余额,float64,73590,46875
应收帐款期末余额,float64,73590,45953
应收费用期末余额,float64,73590,27022
销售成本,float64,73590,47869
销售收入,float64,73590,48071
购销毛利,float64,73590,48595
代付费收入,float64,73590,10450
税负成本,float64,73590,31540
代付费成本,float64,73590,6796
递延收益,float64,73590,11493
综合毛利,float64,73590,49679
经营费用1,float64,73590,11440
市场费用(原）,float64,73590,9838
财务费用（原）,float64,73590,15311
业务利润1,float64,73590,55128
管理费用1,float64,73590,14911
经营利润1,float64,73590,55314
回款指标,object,73590,4014
回款金额,float64,73590,44576
是否停牌,object,73590,4
导入模式,object,73590,13
项目导入时间,object,73590,40
所属合资,object,73590,179
运作年限,object,73590,5
年月,period[M],73590,24
年,int32,73590,2
月,int32,73590,12
